"Statistic Label","CensusYear","Sex","Single Year of Age","UNIT","VALUE"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","11 years","Number","1125"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","12 years","Number","1146"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","13 years","Number","1150"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","14 years","Number","1075"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","15 years","Number","1002"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","16 years","Number","861"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","17 years","Number","822"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","18 years","Number","765"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","19 years","Number","728"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","20 years","Number","641"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","21 years","Number","564"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","22 years","Number","521"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","23 years","Number","472"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","24 years","Number","426"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","25 years","Number","378"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","26 years","Number","396"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","27 years","Number","324"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","28 years","Number","330"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","29 years","Number","310"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","30 years","Number","292"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","31 years","Number","274"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","32 years","Number","246"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","33 years","Number","234"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","34 years","Number","253"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","35 years","Number","264"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","36 years","Number","236"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","37 years","Number","238"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","38 years","Number","253"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","39 years","Number","245"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","40 years","Number","273"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","41 years","Number","236"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","42 years","Number","275"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","43 years","Number","261"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","44 years","Number","257"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","45 years","Number","271"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","46 years","Number","244"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","47 years","Number","282"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","48 years","Number","273"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","49 years","Number","310"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","50 years","Number","307"
